年份,销售收入（亿人民币）,销售收入（亿美元）,增长率,海外市场收入占比,营业利润率,净利润（亿人民币）
2015,3950,608.39,37.00%,57.55%,11.60%,369.1
2014,2882,465.15,20.00%,62.22%,11.90%,278.66
2013,2390,395,8.50%,64.85%,12.20%,210
2012,2202,354,7.99%,66.00%,9.10%,153.8
2011,2039,324,10.10%,67.99%,9.10%,116
2010,1852,271,24.20%,64.90%,12.80%,237.57
2009,1491,218,19.00%,60.40%,14.10%,182.74
2008,---,233,46.00%,75.00%,12.90%,78.48
2007,---,160,45.00%,72.00%,9.70%,---
2006,656,110,45.00%,65.00%,7.30%,---
2005,453,82,44.73%,58.00%,14.00%,---
2004,313,56,41.63%,41.00%,---,---
2003,221,38,26.29%,28.00%,---,---
2002,175,---,-22.22%,---,---,---
2001,225,---,2.27%,---,---,---
2000,220,---,83.33%,---,---,---
1999,120,---,34.83%,---,---,---
1998,89,---,117.07%,---,---,---
1997,41,---,57.69%,---,---,---
1996,26,---,73.33%,---,---,---
1995,15,---,87.50%,---,---,---
1994,8,---,95.12%,---,---,---
1993,4.1,---,---,---,---,---
1992,1,---,---,---,---,---
